Name,Score,Popularity
Cowboy Bebop,8.75,43
Cowboy Bebop: Tengoku no Tobira,8.38,602
Trigun,8.22,246
Witch Hunter Robin,7.25,1795
Bouken Ou Beet,6.94,5126
Eyeshield 21,7.92,1252
Hachimitsu to Clover,8.0,862
Hungry Heart: Wild Striker,7.55,4212
Initial D Fourth Stage,8.16,1273
Monster,8.87,142
Naruto,7.99,8
One Piece,8.69,20
Tennis no Ouji-sama,7.86,1246
Ring ni Kakero 1,6.39,8288
School Rumble,7.89,687
Sunabouzu,7.38,1546
Texhnolyze,7.76,935
Trinity Blood,7.29,1233
Yakitate!! Japan,7.91,1992
Zipang,7.48,4430
Neon Genesis Evangelion,8.35,45
Neon Genesis Evangelion: Death & Rebirth,7.46,889
Neon Genesis Evangelion: The End of Evangelion,8.55,177
Kenpuu Denki Berserk,8.56,325
Koukaku Kidoutai,8.27,329
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,834
Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,432
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,2885
Akira,8.16,208
.hack//Sign,6.95,1243
Aa! Megami-sama!,7.29,2832
Aa! Megami-sama! (TV),7.32,1392
Tenshi Kinryouku,6.27,2958
Kidou Tenshi Angelic Layer,7.26,2707
Ai Yori Aoshi,7.11,1839
Appleseed (Movie),7.06,2370
Arc the Lad,6.51,5012
Avenger,5.86,4856
Beck,8.29,669
Blue Gender,7.03,2256
Chobits,7.4,441
Chrno Crusade,7.62,1010
D.N.Angel,7.17,1211
D.C.: Da Capo,6.72,2320
DearS,6.56,1460
Rozen Maiden,7.41,1120
Rozen Maiden: Träumend,7.62,1898
Azumanga Daiou The Animation,7.99,668
Basilisk: Kouga Ninpou Chou,7.55,1213
Black Cat (TV),7.33,846
Cluster Edge,6.31,5917
Full Metal Panic!,7.61,422
Full Metal Panic? Fumoffu,8.03,769
Full Metal Panic! The Second Raid,7.93,878
Gakuen Alice,7.64,1975
Soukyuu no Fafner: Dead Aggressor,7.26,3000
Mahou Shoujo Lyrical Nanoha,7.41,1921
Mahou Shoujo Lyrical Nanoha A's,7.97,2555
Shuffle!,7.03,820
Kidou Senshi Gundam,7.76,1632
Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,2231
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.96,2718
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.76,5384
Kidou Senshi Gundam 0083: Stardust Memory,7.24,3173
Kidou Senshi Zeta Gundam,7.9,2401
Kidou Senshi Gundam ZZ,6.68,3254
Kidou Senshi Gundam: Gyakushuu no Char,7.66,3005
Kidou Senshi Gundam F91,6.62,3771
Kidou Senshi Victory Gundam,6.77,4037
Shin Kidou Senki Gundam Wing,7.69,1391
Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,2996
Kidou Shinseiki Gundam X,7.34,3534
Kidou Senshi Gundam SEED,7.75,1330
Kidou Senshi Gundam SEED Destiny,7.18,1887
Turn A Gundam,7.74,3041
Kidou Butouden G Gundam,7.57,2483
Last Exile,7.79,1297
Mai-HiME,7.42,1781
Mai-Otome,7.28,2896
Shin Shirayuki-hime Densetsu Prétear,7.16,2589
Air,7.28,761
Aishiteruze Baby★★,7.44,1919
Akazukin Chacha,7.49,5140
Ayashi no Ceres,7.18,2628
Boys Be...,6.4,4306
Hana yori Dango,7.61,2643
Ou Dorobou Jing,7.19,3440
Ou Dorobou Jing in Seventh Heaven,7.25,5457
Bakuretsu Tenshi,6.79,2435
Chuuka Ichiban!,7.58,4649
Corrector Yui,6.97,5031
Chou Henshin Cosprayers,4.82,6433
Uchuu no Stellvia,7.37,4220
Sakigake!! Cromartie Koukou,7.9,1549
El Hazard: The Alternative World,6.79,5731
El Hazard: The Wanderers,6.93,4846
El Hazard: The Magnificent World,7.26,4693
El Hazard 2: The Magnificent World,6.78,6314
Final Approach,6.52,3525
Fruits Basket,7.69,389
Fullmetal Alchemist,8.11,76
Full Moon wo Sagashite,7.94,1860
Fushigi Yuugi,7.61,1748
Fushigi Yuugi: Eikouden,6.82,4833
Futakoi,6.44,3540
Futakoi Alternative,6.86,3750
Gate Keepers,6.92,4404
Gate Keepers 21,6.74,5946
Gensoumaden Saiyuuki,7.55,2791
Saiyuuki Reload,7.37,3560
Saiyuuki Reload Gunlock,7.37,4298
GetBackers,7.58,1703
Green Green,6.15,1750
Gunslinger Girl,7.39,1191
Hikaru no Go,8.08,1557
Hunter x Hunter,8.41,357
Hunter x Hunter: Original Video Animation,8.31,1673
Hunter x Hunter: Greed Island,8.18,1429
Hunter x Hunter: Greed Island Final,8.25,1506
Jinki:Extend,6.1,5723
Kamikaze Kaitou Jeanne,7.46,2764
Kannazuki no Miko,6.81,2436
Kanon,7.07,2542
Kareshi Kanojo no Jijou,7.59,1023
Kono Minikuku mo Utsukushii Sekai,6.71,2647
Kimi ga Nozomu Eien,7.18,1511
Kita e.: Diamond Dust Drops,6.56,6300
Loveless,6.76,1526
Blood+,7.62,592
Re: Cutey Honey,7.1,3925
Solty Rei,7.27,3856
Juuni Kokuki,8.02,1473
Shaman King,7.75,612
X/1999,6.57,3442
X,7.4,2220
Mahou Sensei Negima!,6.94,1523
Maria-sama ga Miteru,7.29,2476
Boukyaku no Senritsu,6.28,4748
"Ima, Soko ni Iru Boku",7.61,1514
Peace Maker Kurogane,7.3,2723
Pita Ten,6.93,4280
Power Stone,6.55,6725
Mononoke Hime,8.67,105
RahXephon,7.39,1745
Samurai 7,7.44,1618
Scrapped Princess,7.38,2016
s.CRY.ed,7.36,2204
Shingetsutan Tsukihime,6.82,1336
Slam Dunk,8.54,797
Strange Dawn,6.32,7677
Tactics,7.2,3269
Tenjou Tenge,6.88,1198
Tokyo Underground,6.59,3873
Triangle Heart: Sweet Songs Forever,6.09,7030
Tsubasa Chronicle,7.52,1009
Ultra Maniac,7.16,3645
Ultra Maniac OVA,6.62,7653
Vandread,7.17,2168
Vandread: The Second Stage,7.39,2824
Tenkuu no Escaflowne,7.67,1422
Whistle!,7.39,5224
Xenosaga The Animation,6.32,4561
Initial D First Stage,8.33,616
Initial D Second Stage,8.16,1106
Initial D Third Stage,7.9,1308
Gosenzo San'e,6.03,9464
Love Hina,7.1,864
Love Hina Again,7.21,2153
Love Hina Christmas Special: Silent Eve,7.31,2704
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.18,2850
Maburaho,6.74,1989
Macross Zero,7.51,3377
Onegai☆Teacher,7.11,1283
Onegai☆Twins,6.82,2112
Rizelmine,6.51,4167
Speed Grapher,7.31,1817
Sen to Chihiro no Kamikakushi,8.78,44
Tenshi na Konamaiki,7.43,3978
Video Girl Ai,7.2,3873
Wolf's Rain,7.8,694
Words Worth,6.72,6424
Yumeria,6.08,3959
Samurai Champloo,8.51,106
Lodoss-tou Senki: Eiyuu Kishi Den,7.13,3707
Lodoss-tou Senki,7.36,2466
R.O.D: Read or Die,7.63,2513
R.O.D: The TV,7.53,2463
Ranma ½,7.76,915
Pure Mail,6.17,8824
Project A-Ko,6.85,4610
Pia Carrot e Youkoso!!,5.94,8947
Pia Carrot e Youkoso!! 2,6.07,10014
Pia Carrot e Youkoso!! 2 DX,6.19,9879
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.81,9592
Shin Angel,6.17,9307
Kidou Senkan Nadesico,7.49,2844
Kidou Senkan Nadesico: The Prince of Darkness,6.73,5032
Kuro no Danshou,5.62,9652
Mezzo Forte,6.62,3720
Mezzo DSA,6.65,4413
